Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2014-02-08,0.0,0.1,0.0,1.6,0.2,0.0,0.0,0.4,4.5,0.3,0.4,10.7,0.3,0.9,1.0,0.0,0.5,1.7,0.0,0.2,0.0,0.5,0.0,0.8,0.0,1.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0,37.4,0.1,0.0,0.8,0.1,0.0,0.0,9.4,0.0,0.2,1.8,0.3,0.0,0.0
2014-02-09,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.5,0.8,0.0,0.1,2.9,0.8,1.4,0.4,0.5,1.0,0.0,0.4,0.3,0.4,0.7,0.0,0.0,1.3,2.0,1.4,0.0,1.5,2.5,0.0,3.3,0.0,0.0,3.7,0.0,13.0,2.6,0.4,0.0,0.0,0.3,0.0,9.8,1.5,0.0,9.5,2.2,0.0,2.6
2014-02-10,2.6,0.0,0.0,0.0,0.0,2.1,0.7,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,2.4,0.6,5.9,1.0,0.0,0.8,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.5,0.1,0.4,0.2,1.5,0.0,0.0,0.1,3.7,0.0,1.2,0.2,0.0,0.0,1.5,9.2,0.7,0.2,17.0,0.1,0.0,0.0
2014-02-11,18.8,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,14.5,0.0,0.7,0.0,0.0,0.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,0.1,11.4,0.0,3.2,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.6,14.0,0.0,0.0,14.9,0.0,0.0,3.4,0.0,0.0,0.0,12.0,0.0,0.0,0.0
2014-02-12,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,9.2,56.4,0.0,7.3,0.0,0.0,1.7,0.0,0.0,11.7,0.0,1.3,0.0,0.0,0.6,7.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,20.5,0.6,0.0,0.0,44.4,0.0,0.0,35.2,0.6,6.9,0.1,3.4,0.0,5.7,24.0,0.1,1.8,0.0
2014-02-13,0.0,0.5,0.0,0.0,0.0,0.0,33.4,33.5,8.1,1.6,0.0,2.6,0.3,0.0,0.3,0.0,0.0,0.0,21.5,32.8,28.1,0.1,2.7,0.0,0.0,0.0,0.0,0.0,23.1,41.2,0.0,13.2,11.2,1.1,0.0,0.0,15.9,21.4,27.5,6.6,0.4,0.6,0.0,4.2,9.9,28.3,18.5,13.4,1.8,0.0
2014-02-14,4.0,2.4,0.0,0.8,0.0,0.0,12.8,4.1,0.0,0.2,0.0,6.1,5.1,5.4,2.0,0.4,10.4,0.4,17.2,0.3,9.9,0.2,0.0,5.1,0.8,0.0,1.1,0.0,12.0,8.7,0.0,17.4,0.0,0.0,1.2,0.0,53.0,0.4,8.5,0.0,0.0,10.5,0.0,1.6,24.5,0.0,23.5,0.8,0.0,0.0
2014-02-15,1.4,1.8,0.0,0.0,0.0,0.0,4.6,5.1,0.0,2.3,0.5,8.8,1.2,0.2,2.5,0.0,1.5,0.0,3.0,2.7,7.0,0.0,1.4,0.0,1.0,1.1,0.0,0.0,3.3,5.7,0.0,4.0,6.6,0.0,0.1,0.0,23.4,8.5,11.9,10.3,0.0,0.0,0.0,0.0,1.2,4.0,15.7,8.5,0.8,0.1
2014-02-16,0.0,0.8,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,2.0,5.4,0.0,0.4,0.0,0.0,0.0,0.0,6.0,0.0,1.4,1.6,0.0,0.0,0.0,1.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.2,0.5,0.0,13.0,0.0,1.5,0.0,0.0,0.0,0.0,2.4,0.1,0.0,20.2,0.0,0.5,0.0
2014-02-17,0.8,2.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.2,11.6,8.5,6.1,0.3,8.0,0.4,0.0,0.0,0.0,7.5,10.7,0.7,8.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,5.5,0.0,25.2,0.0,0.0,0.0,0.5,4.2,0.0,0.0,0.0,0.1,53.4,1.4,10.5,0.0
2014-02-18,2.2,2.3,0.0,0.0,0.0,0.0,6.3,3.5,0.0,1.4,3.2,6.0,0.0,0.0,0.0,0.0,0.0,0.3,5.2,2.5,8.3,1.4,0.0,1.6,0.0,0.0,0.0,0.0,13.6,2.1,0.0,4.3,0.0,0.0,4.5,0.0,29.3,1.7,7.8,0.0,0.2,0.0,0.0,0.0,5.0,1.3,35.0,1.1,0.0,0.0
2014-02-19,0.6,0.6,0.0,1.4,0.0,0.1,5.3,4.4,0.0,0.2,0.0,6.0,0.0,0.0,0.0,0.4,2.3,0.0,3.1,4.0,4.1,0.7,0.0,0.0,0.5,0.3,0.0,0.0,2.8,3.8,0.0,5.8,5.0,0.0,0.2,0.7,12.9,4.7,5.3,2.4,0.0,4.4,0.0,2.0,3.3,1.6,15.8,4.8,0.0,1.0
2014-02-20,0.9,0.0,0.0,0.6,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.6,22.0,16.2,14.2,20.1,2.8,12.8,0.0,0.0,0.9,11.5,15.4,7.1,9.5,0.6,1.8,0.0,1.1,0.3,0.0,2.7,0.0,0.3,7.6,2.0,15.8,0.0,0.5,0.0,0.0,6.2,0.0,0.0,2.0,0.0,19.8,1.1,10.0,0.0
2014-02-21,23.3,0.0,0.0,0.0,0.0,0.0,5.3,6.4,3.0,18.6,0.0,0.0,0.1,0.0,0.0,0.0,22.2,3.8,11.9,6.4,6.3,1.3,4.3,9.6,0.0,4.2,0.0,0.0,19.7,4.0,0.0,6.4,5.8,0.0,12.3,0.0,2.8,7.8,5.5,7.6,0.0,22.7,0.0,0.0,16.2,15.1,6.1,13.3,3.0,0.0
2014-02-22,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.2,0.5,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.8
2014-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,1.5,0.0,0.4,1.1,9.5,0.0,0.6,0.0,0.0,0.0,0.0,0.2,3.0,0.1,0.0,0.0,0.2,0.0,1.0,0.0,0.0,1.6,0.0,1.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,15.4,4.6,0.0,0.0
2014-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.2,3.0,0.0,0.2,0.5,0.0,0.0,1.0,0.0,0.0,1.2,0.0,3.2,0.0,0.0,0.0,0.0,0.0,6.1,0.5,0.0,0.0,2.2,0.0,0.3,0.0,0.3,0.0,0.0,3.8,0.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,1.2,20.0,0.0,0.0,0.0
2014-02-25,1.3,0.0,0.0,0.4,0.0,0.0,0.0,1.2,0.0,2.2,0.2,0.8,0.9,0.2,0.4,0.0,0.2,7.3,0.0,1.8,0.0,0.0,0.0,3.9,0.3,2.6,0.1,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.5,0.0,1.0,0.6,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,4.0,0.9,0.0,1.2
2014-02-26,8.9,16.2,0.0,0.0,0.2,0.2,0.2,1.6,7.9,7.8,0.0,0.0,0.0,0.0,0.0,0.2,1.4,13.2,0.1,1.8,0.3,0.0,0.0,5.5,0.4,0.0,0.0,0.0,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,7.4,0.0,0.0,3.3,0.0,0.1,0.5,0.0,2.0,0.1,0.0
2014-02-27,0.0,16.0,0.4,0.0,4.8,0.0,0.1,0.0,6.9,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.6,0.0,0.0,0.0,0.5,0.0,6.1,0.3,0.2,0.8,0.4,0.0,0.0,0.0,0.0,6.6,0.0,0.6,0.0,0.0,0.0,0.0,10.2,0.6,0.0,1.0,0.0,0.0,0.0
2014-02-28,0.4,2.3,0.6,2.6,22.6,0.0,0.0,0.0,0.0,0.0,0.5,1.7,0.3,0.0,3.4,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1.9,0.0,5.6,0.7,5.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.1
2014-03-01,0.8,0.0,67.1,1.2,2.2,1.0,0.0,0.0,0.0,0.4,1.5,5.1,0.5,0.1,5.5,0.2,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,2.7,1.5,5.5,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.2,12.0,0.0,0.0,0.0,2.5,0.4,0.0,8.4,0.0,0.0,4.2,0.0,0.4,8.8
